anio,tipo_solicitud,casos_abiertos,casos_resueltos,casos_atrasados,casos_cerrados,tiempo_promedio,tipo_principal,subtipo,tipo_completo,dias,horas,minutos,segundos,tiempo_promedio_segundos
2025,Software > SICAU,0,0,0,0,00-00-00-00,Software,SICAU,Software > SICAU,0,0,0,0,0
2025,Software > SICAU > Error del sistema,0,0,0,0,00-00-00-00,Software,SICAU > Error del sistema,Software > SICAU > Error del sistema,0,0,0,0,0
2025,Software > SICAU > Incidente Bolsa de Empleo y Egresados,3,3,0,3,01-12-20-36,Software,SICAU > Incidente Bolsa de Empleo y Egresados,Software > SICAU > Incidente Bolsa de Empleo y Egresados,1,12,20,36,130836
2025,Software > SICAU > Incidente con liquidación o Pagos,3,3,0,3,00-01-07-51,Software,SICAU > Incidente con liquidación o Pagos,Software > SICAU > Incidente con liquidación o Pagos,0,1,7,51,4071
2025,Software > SICAU > Incidente de Bienestar y Permanencia,1,1,0,1,00-00-21-18,Software,SICAU > Incidente de Bienestar y Permanencia,Software > SICAU > Incidente de Bienestar y Permanencia,0,0,21,18,1278
2025,Software > SICAU > Incidente de Integración,1,1,0,1,00-10-45-14,Software,SICAU > Incidente de Integración,Software > SICAU > Incidente de Integración,0,10,45,14,38714
2025,Software > SICAU > Incidente Educación Continua,0,0,0,0,00-00-00-00,Software,SICAU > Incidente Educación Continua,Software > SICAU > Incidente Educación Continua,0,0,0,0,0
2025,Software > SICAU > Incidente Historia Académica,1,1,0,1,00-09-16-04,Software,SICAU > Incidente Historia Académica,Software > SICAU > Incidente Historia Académica,0,9,16,4,33364
2025,Software > SICAU > Incidente SGI,0,0,0,0,00-00-00-00,Software,SICAU > Incidente SGI,Software > SICAU > Incidente SGI,0,0,0,0,0
2025,Software > SICAU > Incidente Sillas Vacias,3,3,0,3,00-00-56-03,Software,SICAU > Incidente Sillas Vacias,Software > SICAU > Incidente Sillas Vacias,0,0,56,3,3363
2025,Software > SICAU > Pascual Me Cuida,0,0,0,0,00-00-00-00,Software,SICAU > Pascual Me Cuida,Software > SICAU > Pascual Me Cuida,0,0,0,0,0
2025,Software > SICAU > Solicitud de Informes y Reportes,15,15,0,15,00-06-42-23,Software,SICAU > Solicitud de Informes y Reportes,Software > SICAU > Solicitud de Informes y Reportes,0,6,42,23,24143
2025,Software > SICAU > Solicitud de requerimiento,26,26,0,26,00-10-35-52,Software,SICAU > Solicitud de requerimiento,Software > SICAU > Solicitud de requerimiento,0,10,35,52,38152
2025,Traslados definitivos,0,0,0,0,00-00-00-00,Traslados definitivos,,Traslados definitivos,0,0,0,0,0
2025,Traslados Temporales,0,0,0,0,00-00-00-00,Traslados Temporales,,Traslados Temporales,0,0,0,0,0
